Label, F1,F2, F3, F4, F5, F6, F7, F8, F9, F10, F11, F12, F13
d,-0.948683298,-0.316227766,134.7182245,1.067302709,55.90169944,0.733430297,0.679764665,359.3625181,10.27674429,12.90579588,6.499953836,1.953125,813
d,-0.894427191,-0.447213595,139.9785698,1.10395384,48.01041554,0.583206783,0.812323734,377.8211601,11.05433011,18.23090848,12.35585042,1.5625,1094
e,1,0,85.47514259,1.070515899,52.32590181,0.707106781,0.707106781,181.4692918,6.746832916,7.233543492,3.197342941,0.644444444,500
e,1,0,84.81155582,0.910787284,54.40588203,0.808736084,0.588171698,197.1034372,7.068583471,7.68887479,3.130936442,0.822222222,578
e,0.832050294,0.554700196,91.04943712,0.89434012,65.73431372,0.836701517,0.547659175,231.7334188,7.068583471,9.738646918,3.924178699,0.982222222,625
e,1,0,111.5212984,0.880650441,58.25804665,0.772425486,0.6351054,254.4605707,6.871187911,8.199498295,3.113692831,2.777777778,579
e,0.707106781,0.707106781,108.7244223,0.975140811,78.89233169,0.507020127,0.861934215,226.9087801,7.853981634,9.755614091,5.906265888,1.724444444,609
e,1,0,89.40357935,0.936243525,71.44928271,0.685801146,0.727788972,172.7800941,6.283185307,10.46391035,6.406489822,0.751111111,640
e,0.447213595,0.894427191,87.23531395,1.132784126,80.0624756,0.462139095,0.886807452,167.1176412,7.068583471,13.52103963,10.91426469,1.391111111,688
e,0.707106781,-0.707106781,126.2695529,1.057544054,81.34494453,0.68842631,0.725306291,272.4613961,5.176036589,14.70126652,11.73952991,1.47265625,875
e,1,0,63.41135545,0.908370033,34.40930107,0.813733471,0.581238194,158.2715697,6.283185307,10.45552306,7.906765771,0.462222222,735
e,1,0,61.6116872,0.946773274,36.40054945,0.796691271,0.604386481,157.4537296,6.283185307,19.30614713,14.99780527,0.462222222,922
e,1,0,116.5160933,0.882651362,54.64430437,0.567305236,0.823507601,248.1071048,6.283185307,9.746353988,4.787046933,1.217777778,719
e,0,1,122.613213,0.91261438,71.19691005,0.491594368,0.870824309,255.3092213,7.853981634,8.816515496,3.690403884,1.22265625,578
e,0.9701425,0.242535625,93.40770846,0.914447959,67.62396025,0.621081638,0.783745877,206.5813516,6.52816397,7.499334422,2.909720534,0.765625,672
e,1,0,110.4536102,1.017955105,68.26419266,0.849640166,0.527362862,258.1811426,6.283185307,7.242518181,3.062130592,1.071111111,609
e,0.857492926,0.514495755,147.4109901,0.93950628,92.78469701,0.506549049,0.862211147,315.9245695,7.068583471,7.320833279,3.233712594,2.6,593
e,1,0,87.69264507,0.76927053,51.88448708,0.886584846,0.462566007,157.3624485,7.313562134,9.13306845,4.847602724,0.968888889,719
e,1,0,112.8007092,0.923749134,76.66159404,0.860926528,0.508729312,273.6339231,6.688077093,6.936787083,2.624454878,1.848888889,594
e,1,0,114.8085363,0.915100701,77.38862966,0.904525643,0.426419232,259.0740574,7.26597903,8.462888478,5.110402549,1.728888889,687
e,0.894427191,-0.447213595,97.83659847,0.713060833,74.43117626,0.994207048,-0.107481843,216.308081,6.746832916,13.84216907,6.823392395,1,829
